idx,open,high,low,close,volume
411,76465.17,76479.35,76449.90,76464.95,18.3463
412,76464.96,76464.96,76371.41,76406.48,26.2092
413,76406.49,76411.82,76342.89,76351.34,22.2198
414,76351.34,76448.01,76350.00,76448.00,6.8443
415,76448.01,76527.05,76448.01,76491.68,16.3092
416,76491.67,76571.42,76491.67,76549.26,35.0749
417,76549.25,76584.10,76532.15,76561.32,31.0463
418,76561.31,76598.01,76547.51,76547.51,41.3083
419,76547.51,76547.52,76500.00,76500.01,10.0169
420,76500.01,76500.01,76472.70,76477.45,12.7217
421,76477.46,76572.01,76477.45,76572.00,26.8674
422,76572.01,76682.01,76572.01,76637.51,41.0322
423,76637.52,76672.01,76526.00,76536.01,34.5270
424,76536.00,76640.01,76518.00,76562.01,18.2786
425,76562.01,76577.42,76540.00,76563.09,24.7552
426,76563.08,76577.37,76522.00,76522.93,88.0489
427,76522.94,76535.00,76500.12,76516.01,27.2524
428,76516.00,76516.01,76492.00,76492.01,36.6714
429,76492.00,76535.92,76492.00,76512.61,20.4162
430,76512.61,76528.00,76479.06,76500.00,29.5530
431,76500.00,76500.01,76460.00,76460.01,35.2374
432,76460.00,76462.76,76425.34,76462.76,39.8043
433,76462.77,76527.66,76460.96,76527.65,44.0372
434,76527.65,76527.66,76453.68,76457.35,15.0308
435,76457.36,76500.00,76418.00,76418.01,34.3850
436,76418.01,76488.01,76396.97,76484.32,37.5202
437,76484.33,76534.62,76476.69,76484.29,50.8307
438,76484.30,76525.10,76462.00,76462.00,18.1984
439,76462.00,76487.95,76415.94,76473.28,34.3852
440,76473.28,76545.01,76464.09,76545.01,36.8755
441,76545.01,76545.01,76458.00,76494.00,34.9960
442,76494.00,76499.78,76477.45,76494.01,24.1322
443,76494.72,76573.24,76494.71,76573.24,38.5260
444,76573.24,76591.46,76564.00,76574.63,53.3484
445,76574.63,76670.00,76574.62,76669.24,28.6184
446,76669.25,76696.94,76636.90,76649.44,39.0221
447,76649.44,76717.42,76649.44,76689.51,22.0297
448,76689.51,76741.29,76650.00,76654.01,37.8242
449,76654.01,76737.33,76654.01,76698.00,29.1566
450,76698.00,76741.74,76689.04,76689.05,40.9185
451,76689.04,76702.01,76646.02,76693.98,26.2236
452,76693.99,76770.00,76684.00,76702.93,44.0145
453,76702.51,76702.51,76597.03,76597.04,17.5601
454,76597.03,76640.01,76528.00,76561.68,34.5173
455,76561.68,76561.68,76500.13,76531.90,24.7964
456,76531.89,76531.90,76468.04,76468.05,33.5861
457,76468.04,76470.49,76314.00,76370.15,48.3144
458,76370.15,76431.17,76370.14,76392.00,37.0287
459,76392.01,76426.01,76379.96,76398.00,21.9081
460,76398.00,76398.01,76327.44,76341.04,29.0345
461,76341.05,76350.00,76318.93,76330.32,28.6934
462,76330.32,76374.51,76330.31,76350.00,18.5823
463,76350.00,76366.90,76322.85,76344.00,23.6959
464,76344.00,76410.01,76344.00,76393.73,17.1911
465,76393.72,76393.73,76325.00,76325.01,27.2456
466,76325.01,76333.75,76270.00,76312.01,115.3120
467,76312.00,76371.94,76312.00,76370.71,22.5753
468,76370.70,76402.01,76340.81,76402.01,24.3086
